القسم,التفرّع,اسم المنتج,الوحدة,السعر,السعر قبل الخصم,المخزون,إيموجي
البقالة والمطبخ,خضار وفواكه,طماطم محلية,كيلو,1000,1250,120,🍅
البقالة والمطبخ,خضار وفواكه,خيار محلي,كيلو,1250,,90,🥒
البقالة والمطبخ,خضار وفواكه,تفاح أحمر مستورد,كيلو,3000,3500,75,🍎
البقالة والمطبخ,خضار وفواكه,موز,كيلو,2000,,100,🍌
البقالة والمطبخ,طحين ورز وبقوليات,رز عنبر عراقي,كيس 5 كيلو,12000,14000,60,🍚
البقالة والمطبخ,طحين ورز وبقوليات,رز بسمتي أبو كاس,كيس 5 كيلو,10000,,80,🍚
البقالة والمطبخ,طحين ورز وبقوليات,طحين الحنطة الفاخر,كيس 5 كيلو,4500,5500,70,🌾
البقالة والمطبخ,طحين ورز وبقوليات,عدس أحمر,كيلو,2500,,85,🫘
البقالة والمطبخ,زيوت وسمن وبهارات,زيت زير عباد الشمس,1.5 لتر,4000,4750,110,🛢️
البقالة والمطبخ,زيوت وسمن وبهارات,سمن نباتي السنبلة,علبة كيلو,5000,,65,🧈
البقالة والمطبخ,زيوت وسمن وبهارات,معجون طماطم درّة,علبة 800غ,2250,2750,95,🥫
البقالة والمطبخ,زيوت وسمن وبهارات,هيل حب,كيس 100غ,6000,,40,🫚
البقالة والمطبخ,ألبان وبيض وخبز,حليب نادك كامل الدسم,لتر,1750,2000,130,🥛
البقالة والمطبخ,ألبان وبيض وخبز,جبن كيري مثلثات,علبة 8 قطع,2500,,100,🧀
البقالة والمطبخ,ألبان وبيض وخبز,بيض المائدة,طبق 30 بيضة,5500,6500,70,🥚
البقالة والمطبخ,ألبان وبيض وخبز,لبن زبادي عبد الله,علبة كيلو,2000,,90,🥛
البقالة والمطبخ,مخبوزات وبسكويت,صمون مخبز طازج,كيس 6 حبات,1000,,150,🥖
البقالة والمطبخ,مخبوزات وبسكويت,بسكويت أولكر بالشوكولاتة,باكيت,1000,1250,120,🍪
البقالة والمطبخ,مخبوزات وبسكويت,كيك تيفاني,علبة 12 حبة,3000,,80,🧁
البقالة والمطبخ,مخبوزات وبسكويت,ويفر لوكر,باكيت,1500,1750,95,🍫
البقالة والمطبخ,مكسرات وحبوب الفطور,فستق حلبي مملح,كيس 250غ,7000,8000,55,🥜
البقالة والمطبخ,مكسرات وحبوب الفطور,كورن فليكس كيلوغز,علبة 500غ,4500,,70,🥣
البقالة والمطبخ,مكسرات وحبوب الفطور,لوز مقشّر,كيس 250غ,6500,7500,50,🌰
البقالة والمطبخ,مكسرات وحبوب الفطور,عسل طبيعي عراقي,علبة 500غ,12000,,40,🍯
البقالة والمطبخ,دجاج ولحوم وأسماك,دجاج سدية مجمّد,كيلو,4000,4750,100,🍗
البقالة والمطبخ,دجاج ولحوم وأسماك,لحم غنم طازج,كيلو,17000,,45,🥩
البقالة والمطبخ,دجاج ولحوم وأسماك,سمك كارب نهري,كيلو,7000,8000,35,🐟
البقالة والمطبخ,دجاج ولحوم وأسماك,لحم بقر مفروم,كيلو,14000,,50,🥩
السناكس والمشروبات,شيبس وتسالي,شيبس مستر بطعم الكاتشب,كيس 50غ,500,,120,🍟
السناكس والمشروبات,شيبس وتسالي,ليز بنكهة الملح,كيس 80غ,1000,1250,90,🥔
السناكس والمشروبات,شيبس وتسالي,تشيتوس حار,كيس 70غ,1000,,85,🧀
السناكس والمشروبات,شيبس وتسالي,دوريتوس ناتشو,كيس 90غ,1500,,60,🌽
السناكس والمشروبات,حلويات وشوكولاتة,جلاكسي حليب,لوح 40غ,1000,,110,🍫
السناكس والمشروبات,حلويات وشوكولاتة,كت كات أربع أصابع,قطعة 41غ,1000,1250,100,🍫
السناكس والمشروبات,حلويات وشوكولاتة,نوتيلا,مرطبان 350غ,6500,7500,45,🍫
السناكس والمشروبات,حلويات وشوكولاتة,كندر بوينو,قطعة 43غ,1500,,80,🍬
السناكس والمشروبات,مشروبات وعصائر,بيبسي علبة,علبة 330مل,750,,200,🥤
السناكس والمشروبات,مشروبات وعصائر,سفن أب قنينة,قنينة 1لتر,1000,1250,150,🥤
السناكس والمشروبات,مشروبات وعصائر,صن توب برتقال,باكيت 250مل,500,,130,🧃
السناكس والمشروبات,مشروبات وعصائر,رني مشمش,علبة 240مل,750,,95,🧃
السناكس والمشروبات,شاي وقهوة وحليب,شاي الغزالين,علبة 450غ,4500,5000,70,🍵
السناكس والمشروبات,شاي وقهوة وحليب,نسكافيه كلاسيك,علبة 100غ,4000,,65,☕
السناكس والمشروبات,شاي وقهوة وحليب,حليب نادك مبستر,قنينة 1لتر,1750,,80,🥛
السناكس والمشروبات,شاي وقهوة وحليب,قهوة عربية محمّصة,كيس 250غ,3500,4000,50,☕
السناكس والمشروبات,أطعمة فورية,اندومي بنكهة الدجاج,كيس 70غ,500,,300,🍜
السناكس والمشروبات,أطعمة فورية,شعيرية ماجي سريعة التحضير,كيس 75غ,750,,140,🍜
السناكس والمشروبات,أطعمة فورية,شوربة ماجي خضار,ظرف 60غ,750,1000,90,🥣
السناكس والمشروبات,أطعمة فورية,تونة ربيع بالزيت,علبة 185غ,2000,,110,🐟
