القسم,التفرّع,اسم المنتج,الوحدة,السعر,السعر قبل الخصم,المخزون,إيموجي
البقالة والمطبخ,خضار وفواكه,طماطم عراقي طازج,1 كغم,1000,1250,80,🍅
البقالة والمطبخ,خضار وفواكه,خيار محلي,1 كغم,750,,90,🥒
البقالة والمطبخ,خضار وفواكه,بصل أحمر,1 كغم,750,1000,120,🧅
البقالة والمطبخ,خضار وفواكه,بطاطا,1 كغم,1000,,150,🥔
البقالة والمطبخ,خضار وفواكه,موز,1 كغم,2000,2500,70,🍌
البقالة والمطبخ,خضار وفواكه,تفاح أحمر مستورد,1 كغم,2500,3000,60,🍎
البقالة والمطبخ,خضار وفواكه,برتقال أبو سرة,1 كغم,1750,,65,🍊
البقالة والمطبخ,خضار وفواكه,باذنجان عراقي,1 كغم,1000,,75,🍆
البقالة والمطبخ,خضار وفواكه,ليمون حامض,½ كغم,1250,1500,55,🍋
البقالة والمطبخ,خضار وفواكه,عنب أبيض,1 كغم,2750,,40,🍇
البقالة والمطبخ,خضار وفواكه,بطيخ أحمر,1 حبة,3000,4000,35,🍉
البقالة والمطبخ,طحين ورز وبقوليات,رز عنبر عراقي فاخر,5 كغم,12500,15000,50,🍚
البقالة والمطبخ,طحين ورز وبقوليات,رز بسمتي أبو كاس,5 كغم,11000,13000,60,🍚
البقالة والمطبخ,طحين ورز وبقوليات,طحين صبا متعدد الاستعمالات,10 كغم,9000,,45,🌾
البقالة والمطبخ,طحين ورز وبقوليات,طحين زهرة الكفاءة,5 كغم,5000,6000,55,🌾
البقالة والمطبخ,طحين ورز وبقوليات,عدس أحمر,1 كغم,2500,,70,🫘
البقالة والمطبخ,طحين ورز وبقوليات,حمص حب,1 كغم,2750,3250,65,🫛
البقالة والمطبخ,طحين ورز وبقوليات,فاصوليا بيضاء,1 كغم,3000,,50,🫘
البقالة والمطبخ,طحين ورز وبقوليات,باقلاء يابس,1 كغم,2750,,48,🫘
البقالة والمطبخ,طحين ورز وبقوليات,برغل خشن,1 كغم,2000,2500,60,🌾
البقالة والمطبخ,طحين ورز وبقوليات,معكرونة سباغيتي ابو وليد,500 غم,750,1000,100,🍝
البقالة والمطبخ,طحين ورز وبقوليات,شعيرية,500 غم,1000,,80,🍜
البقالة والمطبخ,زيوت وسمن وبهارات,زيت زهرة الشمس عافية,1.5 لتر,4500,5500,70,🫒
البقالة والمطبخ,زيوت وسمن وبهارات,زيت دوار الشمس زير,1.8 لتر,4000,,75,🫒
البقالة والمطبخ,زيوت وسمن وبهارات,زيت زيتون بكر ممتاز,750 مل,9000,11000,40,🫒
